system,name,distance,coordinates,stellar_class
SIPS 1259-4336,SIPS 1259-4336,25.2000.012,12h 59m 04.7s43  36 24,M7.5V
"LHS 1070 (LP 881-64, GJ 2005)","LHS 1070 (LP 881-64, GJ 2005) A",25.2220.024,00h 24m 44.2s27  08 25,M5.5-6V
"LHS 1070 (LP 881-64, GJ 2005)","LHS 1070 (LP 881-64, GJ 2005) B",,,M8.5V
"LHS 1070 (LP 881-64, GJ 2005)","LHS 1070 (LP 881-64, GJ 2005) C",,,M9-9.5V
G 192-13 (GJ 3378),G 192-13 (GJ 3378),25.22450.0055,06h 01m 11.0s59  35 50,M4.0Ve
Gliese 701 (HD 165222),Gliese 701 (HD 165222),25.24070.0050,18h 05m 07.6s03  01 53,M1V
GJ 1093 (G 109-35),GJ 1093 (G 109-35),25.2860.012,06h 59m 28.8s19  20 56,M5Ve
LP 71-82 (G 227-22),LP 71-82 (G 227-22),25.42030.0063,18h 02m 16.6s64  15 44,M5.0V
WISE 18000134,WISE 18000134,25.470.10,18h 00m 26.5s01  34 57,L7.5
Gliese 623,Gliese 623 A,25.5850.097,16h 24m 09.3s48  21 11,M3.0Ve
Gliese 623,Gliese 623 B,,,M
WISE J00053737,WISE J00053737,25.700.43,00h 05m 17.5s37  37 21,T9
Gliese 54 (CD-68 47),Gliese 54 (CD-68 47) A,25.7020.081,01h 10m 22.9s67  26 42,M2.5V
Gliese 54 (CD-68 47),Gliese 54 (CD-68 47) B,,,M
2MASS 0729-39,2MASS 0729-39,25.821.82,07h 29m 00.0s39  54 04,T8
GJ 1224 (G 154-44),GJ 1224 (G 154-44),25.99870.0063,18h 07m 32.8s15  57 47,M4Ve
SCR J07404257,SCR J07404257,26.02950.0045,07h 40m 11.8s42  57 40,M4.5
"BB Capricorni (Wolf 922, Gliese 831)","BB Capricorni (Wolf 922, Gliese 831) A",26.0300.062,21h 31m 18.6s09  47 26,M4.5V
"BB Capricorni (Wolf 922, Gliese 831)","BB Capricorni (Wolf 922, Gliese 831) B",,,M
Gliese 257 (CD-44 3045),Gliese 257 (CD-44 3045) A,26.22740.0084,06h 57m 46.6s44  17 28,M3.5V
Gliese 257 (CD-44 3045),Gliese 257 (CD-44 3045) B,,,M
GJ 1151 (G 122-49),GJ 1151 (G 122-49),26.2310.012,11h 50m 57.7s48  22 39,M7
Gliese 480.1 (L 399-68),Gliese 480.1 (L 399-68),26.26370.0062,12h 40m 46.3s43  33 59,M3V
Pi3 Orionis (Tabit),Pi3 Orionis (Tabit),26.3160.036,04h 49m 50.4s06  57 41,F6V
Gliese 486 (Wolf 437Gar),Gliese 486 (Wolf 437Gar),26.35060.0070,12h 47m 56.6s09  45 05,M3.5Ve
2MASS J214816284003593,2MASS J214816284003593,26.370.08,21h 48m 16.3s40  03 59,L6.5pec (red)
Gliese 793 (G 262-15),Gliese 793 (G 262-15),26.37640.0032,20h 30m 32.0s65  26 58,M3V
GJ 1154 (G 13-22),GJ 1154 (G 13-22),26.37890.0096,12h 14m 16.5s00  37 26,M4.5Ve
Gliese 300 (L 674-15),Gliese 300 (L 674-15),26.47300.0051,08h 12m 40.9s21  33 07,M3.5V
"G 99-47 (EGGR 290, GJ 1087)","G 99-47 (EGGR 290, GJ 1087)",26.47400.0037,05h 56m 25.5s05  21 48,DAP8.9
Gliese 686,Gliese 686,26.61320.0038,17h 37m 53.3s18  35 30,MV
"Gliese 293 (LAWD 26, L 97-12)","Gliese 293 (LAWD 26, L 97-12)",26.64390.0025,07h 53m 08.1s67  47 31,DC8.8
UGPS J05213640,UGPS J05213640,26.690.35,05h 21m 26.9s36  41 00,T8.5
p Eridani (Gliese 66),p Eridani (Gliese 66) A,26.73340.0070,01h 39m 47.6s56  11 47,K2V
p Eridani (Gliese 66),p Eridani (Gliese 66) B,,,K2V
L 173-19,L 173-19,26.79820.0070,02h 00m 38.3s55  58 05,MV
Gliese 884 (HD 217357),Gliese 884 (HD 217357),26.85020.0055,23h 00m 16.1s22  31 28,K7Vk
Gliese 48 (Ross 318),Gliese 48 (Ross 318),26.85300.0035,01h 02m 32.2s71  40 47,M3.0Ve
WISEPC J115013.88630240.7,WISEPC J115013.88630240.7,26.870.61,11h 50m 13.9s63  02 42,T8
Gliese 747 (G 207-16),Gliese 747 (G 207-16) A,27.1340.045,19h 07m 43.0s32  32 42,M3V
Gliese 747 (G 207-16),Gliese 747 (G 207-16) B,,,M
2MASS 0348-6022,2MASS 0348-6022,27.160.41,03h 48m 07.7s60  22 27,T7
Chi Draconis,Chi Draconis A,27.170.13,18h 21m 03.4s72  43 58,F7V
Chi Draconis,Chi Draconis B,,,K0V
"WD 2359-434 (LAWD 96, Gliese 915)","WD 2359-434 (LAWD 96, Gliese 915)",27.1760.0049,00h 02m 10.7s43  09 55,DAP5.8
Mu Herculis,Aa,27.1970.035,17h 46m 27.5s27  43 15,G5IV
Mu Herculis,Ab,,,M4V
Mu Herculis,Mu Herculis B,,,M3.5V
Mu Herculis,Mu Herculis C,,,M
Wolf 489,Wolf 489,27.23490.0069,13h 36m 31.8s03  40 45,DZ10.0
